coordinates;value
[  0. 180.];100.0
[ 18. 180.];102.06913425135382
[ 36. 180.];99.37078811349004
[ 54. 180.];85.0705485571112
[ 72. 180.];53.48846165120593
[ 90. 180.];0.0
[  0. 144.];100.00000000000003
[ 18. 144.];94.23189664208788
[ 36. 144.];77.2852451990029
[ 54. 144.];49.971899656409605
[ 72. 144.];18.853875774041363
[ 90. 144.];0.0
[  0. 108.];99.99999999999999
[ 18. 108.];83.91240108052254
[ 36. 108.];61.8700950234113
[ 54. 108.];39.22311943385979
[ 72. 108.];19.470370709650705
[ 90. 108.];0.0
[ 0. 72.];100.0
[18. 72.];80.52962929034932
[36. 72.];60.776880566140235
[54. 72.];38.12990497658872
[72. 72.];16.087598919477475
[90. 72.];0.0
[ 0. 36.];100.00000000000001
[18. 36.];81.14612422595866
[36. 36.];50.028100343590395
[54. 36.];22.71475480099708
[72. 36.];5.768103357912141
[90. 36.];0.0
[0. 0.];100.0
[18.  0.];46.511538348794055
[36.  0.];14.929451442888803
[54.  0.];0.6292118865099974
[72.  0.];-2.069134251353782
[90.  0.];0.0
